iso3,year,dependency_ratio
AUS,1990,49.46812428753547
AUS,1991,49.61706801364452
AUS,1992,49.811919085308006
AUS,1993,49.98607712608749
AUS,1994,50.0950366169999
AUS,1995,50.10919567205799
AUS,1996,50.0490001668879
AUS,1997,49.9340260684314
AUS,1998,49.79801208892475
AUS,1999,49.63671924744891
AUS,2000,49.45983714999612
AUS,2001,49.28683546190102
AUS,2002,49.07392786643059
AUS,2003,48.84456173441219
AUS,2004,48.6497650677502
AUS,2005,48.47529979336775
AUS,2006,48.32967639982512
AUS,2007,48.218323272123484
AUS,2008,48.12539032511647
AUS,2009,48.14825717096639
AUS,2010,48.36386111094089
AUS,2011,48.768238322988275
AUS,2012,49.32897268983779
AUS,2013,49.92436731239188
AUS,2014,50.49106089988524
AUS,2015,51.06330102940122
AUS,2016,51.603445574586225
AUS,2017,52.042421492171165
AUS,2018,52.44551516928038
AUS,2019,52.91975843158956
AUS,2020,53.606124638161646
AUS,2021,54.25581575935253
AUS,2022,54.584771843465305
AUS,2023,54.833050159145735
AUT,1990,48.09179092919095
AUT,1991,48.22852476808265
AUT,1992,48.41719030741542
AUT,1993,48.65124603205345
AUT,1994,48.93735453206853
AUT,1995,49.16278102628949
AUT,1996,49.19445662891356
AUT,1997,49.04586260503817
AUT,1998,48.81485986556497
AUT,1999,48.49649694806773
AUT,2000,48.10715019899048
AUT,2001,47.66788898614319
AUT,2002,47.21889278867767
AUT,2003,46.85243014431327
AUT,2004,46.97685410670003
AUT,2005,47.550402302035245
AUT,2006,48.03186412773866
AUT,2007,48.21579739348475
AUT,2008,48.21324695763252
AUT,2009,48.25400046413096
AUT,2010,48.1046425720335
AUT,2011,47.88951520593416
AUT,2012,48.01622947699478
AUT,2013,48.30924802668503
AUT,2014,48.56450700836818
AUT,2015,48.73269070129312
AUT,2016,48.95586275353253
AUT,2017,49.310934569969916
AUT,2018,49.68389606251271
AUT,2019,50.06709987107293
AUT,2020,50.51840768440516
AUT,2021,51.11109498802946
AUT,2022,51.827798714194486
AUT,2023,52.59408376651893
BEL,1990,49.36504661130165
BEL,1991,49.90799027413519
BEL,1992,50.34506230877891
BEL,1993,50.66828642900225
BEL,1994,50.92766123792109
BEL,1995,51.21895623399413
BEL,1996,51.52584520032201
BEL,1997,51.821991544638635
BEL,1998,52.087780651521896
BEL,1999,52.292249721034864
BEL,2000,52.46580014185771
BEL,2001,52.54945607401932
BEL,2002,52.528065423250936
BEL,2003,52.4831390432658
BEL,2004,52.46462460487149
BEL,2005,52.333422206224455
BEL,2006,51.96113191036562
BEL,2007,51.56263260856697
BEL,2008,51.41736768654744
BEL,2009,51.49443799682292
BEL,2010,51.647369724239326
BEL,2011,52.04180595119655
BEL,2012,52.604514878996945
BEL,2013,53.160278656696626
BEL,2014,53.752711645518744
BEL,2015,54.218586066947275
BEL,2016,54.653292541651524
BEL,2017,55.17678243807919
BEL,2018,55.65472683725719
BEL,2019,56.056338487317156
BEL,2020,56.30961718475892
BEL,2021,56.579843760663664
BEL,2022,56.9781655092647
BEL,2023,57.32180721100703
BGR,1990,50.34785975241195
BGR,1991,50.29612234337796
BGR,1992,50.09096673598135
BGR,1993,49.858601817127614
BGR,1994,49.57394863575345
BGR,1995,49.246918056176476
BGR,1996,48.89386616719798
BGR,1997,48.49109132198865
BGR,1998,48.12023074849028
BGR,1999,47.87736439494921
BGR,2000,47.618211331347304
BGR,2001,47.120104747510446
BGR,2002,46.54618475397501
BGR,2003,45.945805421785344
BGR,2004,45.366050487033135
BGR,2005,44.94247509436719
BGR,2006,44.7386390684655
BGR,2007,44.77511936934992
BGR,2008,45.037343545324546
BGR,2009,45.51204918186594
BGR,2010,46.2076375688598
BGR,2011,47.13337982604677
BGR,2012,48.1663471826867
BGR,2013,49.30865543460264
BGR,2014,50.557921808575514
BGR,2015,51.78454073188033
BGR,2016,52.907489963847674
BGR,2017,53.943631950915204
BGR,2018,54.97149880009533
BGR,2019,55.92467609590106
BGR,2020,56.53995048605868
BGR,2021,56.706635004095084
BGR,2022,56.82959074512962
BGR,2023,57.160145180510234
CAN,1990,46.960460875388755
CAN,1991,47.31176982277036
CAN,1992,47.6541983447229
CAN,1993,47.87339706058158
CAN,1994,47.922853568598065
CAN,1995,47.865955398364626
CAN,1996,47.74662852260347
CAN,1997,47.569932511283895
CAN,1998,47.31209364530392
CAN,1999,46.94434428376846
CAN,2000,46.505468173977995
CAN,2001,46.049099393418594
CAN,2002,45.61621329307487
CAN,2003,45.22497565238304
CAN,2004,44.82396633247537
CAN,2005,44.41245304921606
CAN,2006,44.10567014026627
CAN,2007,43.97283413237536
CAN,2008,43.97981018151202
CAN,2009,44.068329630746305
CAN,2010,44.24260347324262
CAN,2011,44.61663929248263
CAN,2012,45.23949935556537
CAN,2013,45.98567191979671
CAN,2014,46.765665033114374
CAN,2015,47.58596316023998
CAN,2016,48.38950826058361
CAN,2017,49.09811431356911
CAN,2018,49.73347951005595
CAN,2019,50.41057291888031
CAN,2020,51.19835047545891
CAN,2021,52.034248539825924
CAN,2022,52.64531693363046
CAN,2023,53.051845510035115
CHE,1990,46.35606998395983
CHE,1991,46.5639164074309
CHE,1992,46.867592257336845
CHE,1993,47.28518846922869
CHE,1994,47.61939337500034
CHE,1995,47.89566474820174
CHE,1996,48.15583760418214
CHE,1997,48.362683606200214
CHE,1998,48.48666857408981
CHE,1999,48.56944518676124
CHE,2000,48.603170531924576
CHE,2001,48.27152493083598
CHE,2002,47.79988776159036
CHE,2003,47.50521463724254
CHE,2004,47.25534196358524
CHE,2005,47.04255627499482
CHE,2006,46.89011799989009
CHE,2007,46.784752272737435
CHE,2008,46.71466430112469
CHE,2009,46.804097561641434
CHE,2010,47.02579829820144
CHE,2011,47.32106799422736
CHE,2012,47.6553103474253
CHE,2013,47.99640754956131
CHE,2014,48.352481328327045
CHE,2015,48.693882944249815
CHE,2016,49.06411866827884
CHE,2017,49.541626421596824
CHE,2018,50.09373004688794
CHE,2019,50.6327775355631
CHE,2020,51.06523590589297
CHE,2021,51.53130324762185
CHE,2022,52.18171462356773
CHE,2023,52.95752190430336
CZE,1990,51.468200029638844
CZE,1991,50.422269185607135
CZE,1992,49.45347807221071
CZE,1993,48.50437619601241
CZE,1994,47.55542831195498
CZE,1995,46.696164274087685
CZE,1996,46.00149295939711
CZE,1997,45.35000849886129
CZE,1998,44.70375881594051
CZE,1999,44.03073873753755
CZE,2000,43.31247780626929
CZE,2001,42.58295726560616
CZE,2002,41.890508661556694
CZE,2003,41.232284481833
CZE,2004,40.702223671959125
CZE,2005,40.38467143450274
CZE,2006,40.25001965627947
CZE,2007,40.36862815758022
CZE,2008,40.826349268902334
CZE,2009,41.598368490455066
CZE,2010,42.57534016853287
CZE,2011,43.865719704913296
CZE,2012,45.474711089562966
CZE,2013,47.07665118769635
CZE,2014,48.59265862113947
CZE,2015,50.083637075716524
CZE,2016,51.606677543475065
CZE,2017,53.138936545080384
CZE,2018,54.5796531953634
CZE,2019,55.90882203109654
CZE,2020,56.977959549978806
CZE,2021,57.74381826366339
CZE,2022,57.39605882937669
CZE,2023,56.78781597012961
DEU,1990,44.831198502375265
DEU,1991,45.264607995282624
DEU,1992,45.49465025465616
DEU,1993,45.754279061299655
DEU,1994,46.08524325785168
DEU,1995,46.30290826596038
DEU,1996,46.39930248626437
DEU,1997,46.47281552690794
DEU,1998,46.551257728744375
DEU,1999,46.81353257688764
DEU,2000,47.30649082382148
DEU,2001,47.78863051608106
DEU,2002,48.208752521652
DEU,2003,48.658252887585036
DEU,2004,49.29789266750017
DEU,2005,50.0417234262092
DEU,2006,50.84438221108128
DEU,2007,51.46125035367679
DEU,2008,51.81499876797218
DEU,2009,52.15786377714328
DEU,2010,52.11753021500903
DEU,2011,51.746235175580594
DEU,2012,51.580506273521706
DEU,2013,51.61974906231753
DEU,2014,51.83217321922511
DEU,2015,52.122406986576095
DEU,2016,52.58204585943722
DEU,2017,53.258253101446016
DEU,2018,53.87545524656071
DEU,2019,54.537986859364636
DEU,2020,55.295066596629006
DEU,2021,56.23112720701424
DEU,2022,57.16212273603739
DEU,2023,57.99189538966489
DNK,1990,48.47249991552476
DNK,1991,48.242092847547
DNK,1992,48.22240425850247
DNK,1993,48.22694832853492
DNK,1994,48.27460892721098
DNK,1995,48.42452344035606
DNK,1996,48.65503428648578
DNK,1997,48.95216133195307
DNK,1998,49.277704730534474
DNK,1999,49.61853136049791
DNK,2000,49.964444074967396
DNK,2001,50.28954128852043
DNK,2002,50.57488649317838
DNK,2003,50.83980000604414
