iso3,year,ln_gdppc
AUS,1980,4.789221146501001
AUS,1981,4.800729091211559
AUS,1982,4.767873481989318
AUS,1983,4.777742952368239
AUS,1984,4.7780115473978775
AUS,1985,4.775064392146821
AUS,1986,4.763972069321209
AUS,1987,4.776297739722435
AUS,1988,4.761772597862604
AUS,1989,4.750930130417841
AUS,1990,4.710575618637135
AUS,1991,4.696036588642009
AUS,1992,4.71012099072586
AUS,1993,4.7335094063348775
AUS,1994,4.739183479979496
AUS,1995,4.747579889513116
AUS,1996,4.749262322135956
AUS,1997,4.754717228175217
AUS,1998,4.771956941845173
AUS,1999,4.7739750947561586
AUS,2000,4.74914305863426
AUS,2001,4.768282674294978
AUS,2002,4.778742269194421
AUS,2003,4.794771464526502
AUS,2004,4.789294250621615
AUS,2005,4.7828332086421455
AUS,2006,4.782242765974778
AUS,2007,4.780375851440511
AUS,2008,4.783138163024782
AUS,2009,4.826297057169206
AUS,2010,4.810520361946838
AUS,2011,4.8206801474510605
AUS,2012,4.821717791802769
AUS,2013,4.819229472026049
AUS,2014,4.810147102719961
AUS,2015,4.803336991149812
AUS,2016,4.797988483731964
AUS,2017,4.7886360461504776
AUS,2018,4.777980285276547
AUS,2019,4.7508328759630585
AUS,2020,4.80280171148459
AUS,2021,4.785529151492383
AUS,2022,4.782366732322584
AUS,2023,4.761013466843414
AUT,1980,4.913386346094862
AUT,1981,4.895954344491877
AUT,1982,4.92213587233514
AUT,1983,4.931975050933698
AUT,1984,4.89335399255026
AUT,1985,4.889006874418568
AUT,1986,4.889254642272416
AUT,1987,4.873622603063927
AUT,1988,4.868414378589861
AUT,1989,4.8730206123726525
AUT,1990,4.886238148358126
AUT,1991,4.903976684426986
AUT,1992,4.899309413569471
AUT,1993,4.889585618777472
AUT,1994,4.886617142944438
AUT,1995,4.893019881890277
AUT,1996,4.888975011623495
AUT,1997,4.8796409395149745
AUT,1998,4.89102445652723
AUT,1999,4.900552505296181
AUT,2000,4.896046551250088
AUT,2001,4.898543805811965
AUT,2002,4.899730764680981
AUT,2003,4.892823343021826
AUT,2004,4.886014725699828
AUT,2005,4.880524520668088
AUT,2006,4.883227369949593
AUT,2007,4.8977821714247485
AUT,2008,4.912477921549402
AUT,2009,4.915473754577749
AUT,2010,4.90717236207244
AUT,2011,4.918035472616822
AUT,2012,4.912103689737798
AUT,2013,4.892609391450073
AUT,2014,4.876720589922009
AUT,2015,4.860110228224796
AUT,2016,4.855956094627094
AUT,2017,4.850896621589898
AUT,2018,4.853204168374087
AUT,2019,4.855058027177346
AUT,2020,4.829811519066976
AUT,2021,4.816476100126434
AUT,2022,4.83151059789385
AUT,2023,4.804302644424604
BEL,1980,4.903295368847349
BEL,1981,4.886350165574742
BEL,1982,4.89845662460084
BEL,1983,4.879989015524736
BEL,1984,4.865055495769409
BEL,1985,4.852678100902916
BEL,1986,4.848668996183239
BEL,1987,4.8418788655099725
BEL,1988,4.848370755767715
BEL,1989,4.849822868476431
BEL,1990,4.856200844010026
BEL,1991,4.864446094080982
BEL,1992,4.861166642006556
BEL,1993,4.840895201705564
BEL,1994,4.846828311885222
BEL,1995,4.849925871550885
BEL,1996,4.836491718272876
BEL,1997,4.841924355183588
BEL,1998,4.837371678014597
BEL,1999,4.844380784233399
BEL,2000,4.844953328253424
BEL,2001,4.84568338377005
BEL,2002,4.849517414042734
BEL,2003,4.841869110688723
BEL,2004,4.846778348285132
BEL,2005,4.842607382690437
BEL,2006,4.836919037274175
BEL,2007,4.846473509969161
BEL,2008,4.846471875912966
BEL,2009,4.8610867006283325
BEL,2010,4.854807256067728
BEL,2011,4.846214156547357
BEL,2012,4.834471880953418
BEL,2013,4.821850366650982
BEL,2014,4.81932867626629
BEL,2015,4.808570230658461
BEL,2016,4.802970698230479
BEL,2017,4.792529249877289
BEL,2018,4.789183843704799
BEL,2019,4.796880513349484
BEL,2020,4.7878797924810215
BEL,2021,4.786915101556447
BEL,2022,4.791996813030336
BEL,2023,4.789733968780118
BGR,1980,
BGR,1981,
BGR,1982,
BGR,1983,
BGR,1984,
BGR,1985,
BGR,1986,
BGR,1987,
BGR,1988,
BGR,1989,
BGR,1990,
BGR,1991,
BGR,1992,
BGR,1993,
BGR,1994,
BGR,1995,3.5879632976444675
BGR,1996,3.6192544185676705
BGR,1997,3.4437447987843424
BGR,1998,3.465756965077915
BGR,1999,3.3582118678654416
BGR,2000,3.374503755879579
BGR,2001,3.4372141857244074
BGR,2002,3.4912912528811586
BGR,2003,3.5343238506495
BGR,2004,3.5769778700134234
BGR,2005,3.6288593495401282
BGR,2006,3.675676781125158
BGR,2007,3.7259964656532225
BGR,2008,3.793687814862293
BGR,2009,3.806582753258115
BGR,2010,3.8048573058502515
BGR,2011,3.835826737378517
BGR,2012,3.8470041556178924
BGR,2013,3.8451481892774964
BGR,2014,3.851163681071225
BGR,2015,3.8776848412096996
BGR,2016,3.908081347290365
BGR,2017,3.927188958769713
BGR,2018,3.946538995631141
BGR,2019,3.986851310936634
BGR,2020,4.0094793714354715
BGR,2021,4.033980179457213
BGR,2022,4.054867322835445
BGR,2023,4.063657665587945
CAN,1980,4.836855948507299
CAN,1981,4.844664610221245
CAN,1982,4.807580538278527
CAN,1983,4.801921128336572
CAN,1984,4.810595712032733
CAN,1985,4.819189267651871
CAN,1986,4.80837205713872
CAN,1987,4.806623704055567
CAN,1988,4.800600940543701
CAN,1989,4.776740268932843
CAN,1990,4.741990083049896
CAN,1991,4.702315635200235
CAN,1992,4.684963268661746
CAN,1993,4.693472083231462
CAN,1994,4.703622569350569
CAN,1995,4.701348388951287
CAN,1996,4.683033283112318
CAN,1997,4.6855742560546805
CAN,1998,4.693613579652236
CAN,1999,4.710161965671164
CAN,2000,4.717459563544706
CAN,2001,4.71841625181077
CAN,2002,4.728510250496939
CAN,2003,4.723628033907456
CAN,2004,4.71890887651718
CAN,2005,4.719417538476866
CAN,2006,4.7110291673912235
CAN,2007,4.702398815299894
CAN,2008,4.7049065104914956
CAN,2009,4.705782665541169
CAN,2010,4.701224425275128
CAN,2011,4.707651717344855
CAN,2012,4.706516032635922
CAN,2013,4.708017869125093
CAN,2014,4.710753911732692
CAN,2015,4.690028075887971
CAN,2016,4.676641445067065
CAN,2017,4.673353762083853
CAN,2018,4.668682934325585
CAN,2019,4.661934018657795
CAN,2020,4.643826865104077
CAN,2021,4.638575425854773
CAN,2022,4.640775177985143
CAN,2023,4.620320222435701
CHE,1980,5.313370729016563
CHE,1981,5.308961610053469
CHE,1982,5.296862859264989
CHE,1983,5.279882727928527
CHE,1984,5.2667583792694375
CHE,1985,5.269956672138578
CHE,1986,5.260456379747746
CHE,1987,5.240722744642005
CHE,1988,5.228849210702795
CHE,1989,5.234531911118626
CHE,1990,5.238083593340332
CHE,1991,5.210512483906962
CHE,1992,5.186577999205886
CHE,1993,5.172015934655588
CHE,1994,5.154932957706552
CHE,1995,5.132419723857106
CHE,1996,5.107980916133357
CHE,1997,5.09798711423965
CHE,1998,5.102662727944919
CHE,1999,5.0884181209307915
CHE,2000,5.088512767032308
CHE,2001,5.092452107113842
CHE,2002,5.07598885175131
CHE,2003,5.054613735392884
CHE,2004,5.048755530151805
CHE,2005,5.048347337728487
CHE,2006,5.057763080455644
CHE,2007,5.068049856238538
CHE,2008,5.087380490952029
CHE,2009,5.094788428532953
CHE,2010,5.095149852738685
CHE,2011,5.089480706836646
CHE,2012,5.082627988722305
CHE,2013,5.077837632869156
CHE,2014,5.073274118201497
CHE,2015,5.05769908004309
CHE,2016,5.055026903553579
CHE,2017,5.038065645089411
CHE,2018,5.041692907833557
CHE,2019,5.034848507240228
CHE,2020,5.050108981659069
CHE,2021,5.039338325739828
CHE,2022,5.035203710356696
CHE,2023,5.016237697950315
CZE,1980,
CZE,1981,
CZE,1982,
CZE,1983,
CZE,1984,
CZE,1985,
CZE,1986,
CZE,1987,
CZE,1988,
CZE,1989,
CZE,1990,4.4687745925967555
CZE,1991,4.344422997348441
