iso3,year,inflation_cpi
AUS,1980,10.13584
AUS,1981,9.487666
AUS,1982,11.35182
AUS,1983,10.03891
AUS,1984,3.960396
AUS,1985,6.734694
AUS,1986,9.05035
AUS,1987,8.533022
AUS,1988,7.21594
AUS,1989,7.533903
AUS,1990,7.333022
AUS,1991,3.176675
AUS,1992,1.012231
AUS,1993,1.753653
AUS,1994,1.969635
AUS,1995,4.627767
AUS,1996,2.615385
AUS,1997,0.2248875
AUS,1998,0.8601346
AUS,1999,1.483129
AUS,2000,4.457435
AUS,2001,4.407135
AUS,2002,2.981575
AUS,2003,2.732596
AUS,2004,2.343255
AUS,2005,2.691832
AUS,2006,3.555288
AUS,2007,2.327611
AUS,2008,4.350298
AUS,2009,1.771117
AUS,2010,2.91834
AUS,2011,3.30385
AUS,2012,1.76278
AUS,2013,2.449889
AUS,2014,2.487923
AUS,2015,1.508367
AUS,2016,1.276991
AUS,2017,1.948647
AUS,2018,1.911401
AUS,2019,1.610768
AUS,2020,0.8469055
AUS,2021,2.86391
AUS,2022,6.594097
AUS,2023,5.597015
AUT,1980,6.328318
AUT,1981,6.803043
AUT,1982,5.436026
AUT,1983,3.339167
AUT,1984,5.663189
AUT,1985,3.189511
AUT,1986,1.705446
AUT,1987,1.401955
AUT,1988,1.91572
AUT,1989,2.568347
AUT,1990,3.261872
AUT,1991,3.337426
AUT,1992,4.020847
AUT,1993,3.631786
AUT,1994,2.953407
AUT,1995,2.243364
AUT,1996,1.860974
AUT,1997,1.305983
AUT,1998,0.9224669
AUT,1999,0.5689865
AUT,2000,2.344868
AUT,2001,2.65
AUT,2002,1.810359
AUT,2003,1.355554
AUT,2004,2.061207
AUT,2005,2.299138
AUT,2006,1.441547
AUT,2007,2.168556
AUT,2008,3.215951
AUT,2009,0.5063094
AUT,2010,1.813532
AUT,2011,3.286583
AUT,2012,2.485675
AUT,2013,2.000158
AUT,2014,1.605806
AUT,2015,0.8965653
AUT,2016,0.8915924
AUT,2017,2.081269
AUT,2018,1.998382
AUT,2019,1.530896
AUT,2020,1.381909
AUT,2021,2.766667
AUT,2022,8.54687
AUT,2023,7.814134
BEL,1980,6.64869
BEL,1981,7.627487
BEL,1982,8.726549
BEL,1983,7.66161
BEL,1984,6.341776
BEL,1985,4.86873
BEL,1986,1.294371
BEL,1987,1.55338
BEL,1988,1.160936
BEL,1989,3.107053
BEL,1990,3.44831
BEL,1991,3.215311
BEL,1992,2.427956
BEL,1993,2.754426
BEL,1994,2.377545
BEL,1995,1.467961
BEL,1996,2.077025
BEL,1997,1.62816
BEL,1998,0.9492503
BEL,1999,1.120848
BEL,2000,2.544518
BEL,2001,2.469258
BEL,2002,1.645214
BEL,2003,1.588964
BEL,2004,2.097283
BEL,2005,2.781433
BEL,2006,1.791208
BEL,2007,1.823056
BEL,2008,4.489444
BEL,2009,-0.05314567
BEL,2010,2.189299
BEL,2011,3.532082
BEL,2012,2.839664
BEL,2013,1.113096
BEL,2014,0.3400028
BEL,2015,0.5614291
BEL,2016,1.973853
BEL,2017,2.125971
BEL,2018,2.053165
BEL,2019,1.43682
BEL,2020,0.7407918
BEL,2021,2.440248
BEL,2022,9.597511
BEL,2023,4.049011
BGR,1980,
BGR,1981,
BGR,1982,
BGR,1983,
BGR,1984,
BGR,1985,
BGR,1986,
BGR,1987,
BGR,1988,
BGR,1989,
BGR,1990,
BGR,1991,
BGR,1992,
BGR,1993,
BGR,1994,
BGR,1995,
BGR,1996,121.6075
BGR,1997,1058.374
BGR,1998,18.6722
BGR,1999,2.573043
BGR,2000,10.31626
BGR,2001,7.36094
BGR,2002,5.810143
BGR,2003,2.348642
BGR,2004,6.147131
BGR,2005,5.038838
BGR,2006,7.261595
BGR,2007,8.402534
BGR,2008,12.34872
BGR,2009,2.753202
BGR,2010,2.438991
BGR,2011,4.219903
BGR,2012,2.954568
BGR,2013,0.8900936
BGR,2014,-1.418184
BGR,2015,-0.1046333
BGR,2016,-0.7986535
BGR,2017,2.061594
BGR,2018,2.814551
BGR,2019,3.103729
BGR,2020,1.672439
BGR,2021,3.297195
BGR,2022,15.33337
BGR,2023,9.459093
CAN,1980,10.12922
CAN,1981,12.47161
CAN,1982,10.76897
CAN,1983,5.863588
CAN,1984,4.304778
CAN,1985,3.962031
CAN,1986,4.194786
CAN,1987,4.356109
CAN,1988,4.028234
CAN,1989,4.983622
CAN,1990,4.780477
CAN,1991,5.625864
CAN,1992,1.490133
CAN,1993,1.865079
CAN,1994,0.1655629
CAN,1995,2.14876
CAN,1996,1.570531
CAN,1997,1.621216
CAN,1998,0.9959425
CAN,1999,1.734843
CAN,2000,2.71944
CAN,2001,2.52512
CAN,2002,2.258394
CAN,2003,2.758563
CAN,2004,1.857259
CAN,2005,2.213552
CAN,2006,2.002025
CAN,2007,2.138384
CAN,2008,2.370271
CAN,2009,0.2994668
CAN,2010,1.776872
CAN,2011,2.912135
CAN,2012,1.515678
CAN,2013,0.9382919
CAN,2014,1.906636
CAN,2015,1.125241
CAN,2016,1.42876
CAN,2017,1.596884
CAN,2018,2.268226
CAN,2019,1.949269
CAN,2020,0.7169997
CAN,2021,3.395193
CAN,2022,6.802801
CAN,2023,3.879002
CHE,1980,4.022499
CHE,1981,6.49031
CHE,1982,5.655101
CHE,1983,2.949795
CHE,1984,2.931457
CHE,1985,3.435399
CHE,1986,0.7503098
CHE,1987,1.440322
CHE,1988,1.872469
CHE,1989,3.15527
CHE,1990,5.403959
CHE,1991,5.859597
CHE,1992,4.03703
CHE,1993,3.292622
CHE,1994,0.852117
CHE,1995,1.799828
CHE,1996,0.8116341
CHE,1997,0.5202254
CHE,1998,0.01793844
CHE,1999,0.8064444
CHE,2000,1.558529
CHE,2001,0.9890203
CHE,2002,0.6427115
CHE,2003,0.6382729
CHE,2004,0.8029087
CHE,2005,1.171954
CHE,2006,1.059509
CHE,2007,0.7323506
CHE,2008,2.426041
CHE,2009,-0.4804819
CHE,2010,0.6882387
CHE,2011,0.2313492
CHE,2012,-0.692552
CHE,2013,-0.2173232
CHE,2014,-0.01320254
CHE,2015,-1.143909
CHE,2016,-0.4346187
CHE,2017,0.5337878
CHE,2018,0.9363354
CHE,2019,0.3628862
CHE,2020,-0.725875
CHE,2021,0.5818142
CHE,2022,2.835028
CHE,2023,2.135401
CZE,1980,
CZE,1981,
CZE,1982,
CZE,1983,
CZE,1984,
CZE,1985,
CZE,1986,
CZE,1987,
CZE,1988,
CZE,1989,
CZE,1990,
CZE,1991,
CZE,1992,11.0865
CZE,1993,20.81303
CZE,1994,10.03942
CZE,1995,8.990531
CZE,1996,8.758775
CZE,1997,8.596157
CZE,1998,10.69837
CZE,1999,2.135448
CZE,2000,3.775388
CZE,2001,4.662675
CZE,2002,1.902981
CZE,2003,0.1187392
CZE,2004,2.760108
CZE,2005,1.857098
CZE,2006,2.533993
CZE,2007,2.853124
CZE,2008,6.358664
CZE,2009,1.019377
CZE,2010,1.472727
CZE,2011,1.917219
CZE,2012,3.287623
CZE,2013,1.438298
CZE,2014,0.3439886
CZE,2015,0.3093646
CZE,2016,0.6835042
CZE,2017,2.450534
CZE,2018,2.149495
CZE,2019,2.847876
CZE,2020,3.161295
CZE,2021,3.839845
CZE,2022,15.10017
CZE,2023,10.66126
DEU,1980,5.441055
DEU,1981,6.344242
DEU,1982,5.241046
DEU,1983,3.293413
DEU,1984,2.405797
DEU,1985,2.066233
DEU,1986,-0.1294139
DEU,1987,0.2499074
DEU,1988,1.274121
DEU,1989,2.780563
DEU,1990,2.69647
DEU,1991,4.047034
DEU,1992,5.05698
DEU,1993,4.474576
DEU,1994,2.693056
DEU,1995,1.706161
DEU,1996,1.449726
DEU,1997,1.939369
DEU,1998,0.9111845
DEU,1999,0.5854336
DEU,2000,1.440268
DEU,2001,1.983857
DEU,2002,1.420807
DEU,2003,1.034223
DEU,2004,1.665736
DEU,2005,1.546911
DEU,2006,1.577429
DEU,2007,2.298341
DEU,2008,2.628383
DEU,2009,0.3127377
DEU,2010,1.103809
DEU,2011,2.075173
DEU,2012,2.008491
DEU,2013,1.504722
DEU,2014,0.9067971
DEU,2015,0.514421
DEU,2016,0.4917486
DEU,2017,1.509497
DEU,2018,1.732168
DEU,2019,1.445667
DEU,2020,0.1448705
DEU,2021,3.066667
DEU,2022,6.872574
DEU,2023,5.946437
DNK,1980,12.30532
DNK,1981,11.76739
DNK,1982,10.12082
DNK,1983,6.908229
DNK,1984,6.290782
DNK,1985,4.678746
DNK,1986,3.678187
DNK,1987,4.01999
DNK,1988,4.535135
DNK,1989,4.772727
DNK,1990,2.6416
DNK,1991,2.395153
DNK,1992,2.096042
DNK,1993,1.257862
DNK,1994,1.992014
DNK,1995,2.083605
DNK,1996,2.1263
DNK,1997,2.182167
DNK,1998,1.845651
DNK,1999,2.497795
DNK,2000,2.903277
DNK,2001,2.337875
DNK,2002,2.424437
DNK,2003,2.075078
DNK,2004,1.154357
DNK,2005,1.817815
DNK,2006,1.924221
DNK,2007,1.693266
DNK,2008,3.416268
DNK,2009,1.30471
DNK,2010,2.310924
DNK,2011,2.758682
DNK,2012,2.397915
DNK,2013,0.7890718
DNK,2014,0.5640205
DNK,2015,0.4520341
DNK,2016,0.25
DNK,2017,1.147132
DNK,2018,0.8136095
DNK,2019,0.7581316
DNK,2020,0.420712
DNK,2021,1.853045
DNK,2022,7.696567
DNK,2023,3.305178
ESP,1980,15.56191
ESP,1981,14.54935
ESP,1982,14.41499
ESP,1983,12.17408
ESP,1984,11.28027
ESP,1985,8.814454
ESP,1986,8.794939
ESP,1987,5.248024
ESP,1988,4.837267
ESP,1989,6.791436
ESP,1990,6.721821
ESP,1991,5.934214
ESP,1992,5.924531
ESP,1993,4.569072
ESP,1994,4.718413
ESP,1995,4.673804
ESP,1996,3.558843
ESP,1997,1.971078
ESP,1998,1.83433
ESP,1999,2.310345
ESP,2000,3.433517
ESP,2001,3.589833
ESP,2002,3.065657
ESP,2003,3.038888
ESP,2004,3.039249
ESP,2005,3.368814
ESP,2006,3.515576
ESP,2007,2.786798
ESP,2008,4.075343
ESP,2009,-0.2878131
ESP,2010,1.799865
ESP,2011,3.196102
ESP,2012,2.446128
ESP,2013,1.408581
ESP,2014,-0.1511148
ESP,2015,-0.5003657
ESP,2016,-0.202598
ESP,2017,1.956076
ESP,2018,1.674981
ESP,2019,0.699519
ESP,2020,-0.322753
ESP,2021,3.093135
ESP,2022,8.390576
ESP,2023,3.532361
EST,1980,
EST,1981,
EST,1982,
EST,1983,
EST,1984,
EST,1985,
EST,1986,
EST,1987,
EST,1988,
EST,1989,
EST,1990,
EST,1991,
EST,1992,
EST,1993,
EST,1994,
EST,1995,
EST,1996,
EST,1997,
EST,1998,8.744751
EST,1999,3.296111
EST,2000,4.018489
EST,2001,5.74828
EST,2002,3.571913
EST,2003,1.334991
EST,2004,3.048111
EST,2005,4.079714
EST,2006,4.437621
EST,2007,6.601326
EST,2008,10.36236
EST,2009,-0.07840831
EST,2010,2.972045
EST,2011,4.981901
EST,2012,3.9334
EST,2013,2.780567
EST,2014,-0.1061751
EST,2015,-0.492326
EST,2016,0.1486849
EST,2017,3.417236
EST,2018,3.436327
EST,2019,2.277259
EST,2020,-0.4445311
EST,2021,4.653167
EST,2022,19.39826
EST,2023,9.159226
FIN,1980,11.59462
FIN,1981,11.30575
FIN,1982,9.58493
FIN,1983,8.366291
FIN,1984,7.067658
FIN,1985,5.195623
FIN,1986,2.933578
FIN,1987,4.113027
FIN,1988,5.085932
FIN,1989,6.592911
FIN,1990,6.149561
FIN,1991,4.310215
FIN,1992,2.919323
FIN,1993,2.190654
FIN,1994,1.088558
FIN,1995,0.7912362
FIN,1996,0.6291981
FIN,1997,1.192557
FIN,1998,1.399471
FIN,1999,1.162237
FIN,2000,3.042096
FIN,2001,2.578441
FIN,2002,1.571221
FIN,2003,0.8774385
FIN,2004,0.1871234
FIN,2005,0.6238712
FIN,2006,1.566667
FIN,2007,2.510666
FIN,2008,4.065952
FIN,2009,-1.22217e-14
FIN,2010,1.184135
FIN,2011,3.416809
FIN,2012,2.808332
FIN,2013,1.478288
FIN,2014,1.0412
FIN,2015,-0.207932
FIN,2016,0.3566845
FIN,2017,0.754015
FIN,2018,1.083821
FIN,2019,1.024094
FIN,2020,0.2905546
FIN,2021,2.194574
FIN,2022,7.123507
FIN,2023,6.250643
FRA,1980,13.56258
FRA,1981,13.3144
FRA,1982,11.97848
FRA,1983,9.459548
FRA,1984,7.673803
FRA,1985,5.831099
FRA,1986,2.538527
FRA,1987,3.288898
FRA,1988,2.700817
FRA,1989,3.498302
FRA,1990,3.194282
FRA,1991,3.213407
FRA,1992,2.36376
FRA,1993,2.104463
FRA,1994,1.655515
FRA,1995,1.796481
FRA,1996,1.982884
FRA,1997,1.203943
FRA,1998,0.6511269
FRA,1999,0.5371416
FRA,2000,1.67596
FRA,2001,1.634781
FRA,2002,1.923412
FRA,2003,2.098472
FRA,2004,2.14209
FRA,2005,1.745869
FRA,2006,1.675125
FRA,2007,1.487998
FRA,2008,2.812862
FRA,2009,0.08762048
FRA,2010,1.531123
FRA,2011,2.111598
FRA,2012,1.954195
FRA,2013,0.8637155
FRA,2014,0.5077588
FRA,2015,0.03751438
FRA,2016,0.1833349
FRA,2017,1.032283
FRA,2018,1.850815
FRA,2019,1.108255
FRA,2020,0.4764988
FRA,2021,1.642331
FRA,2022,5.222367
FRA,2023,4.878357
GBR,1980,17.96593
GBR,1981,11.87662
GBR,1982,8.59887
GBR,1983,4.609302
GBR,1984,4.960712
GBR,1985,6.071394
GBR,1986,3.427615
GBR,1987,4.148918
GBR,1988,4.2094
GBR,1989,5.7
GBR,1990,8.0
GBR,1991,7.5
GBR,1992,4.6
GBR,1993,2.6
GBR,1994,2.2
GBR,1995,2.7
GBR,1996,2.9
GBR,1997,2.2
GBR,1998,1.8
GBR,1999,1.7
GBR,2000,1.2
GBR,2001,1.6
GBR,2002,1.5
GBR,2003,1.4
GBR,2004,1.4
GBR,2005,2.1
GBR,2006,2.5
GBR,2007,2.4
GBR,2008,3.5
GBR,2009,2.0
GBR,2010,2.5
GBR,2011,3.8
GBR,2012,2.6
GBR,2013,2.3
GBR,2014,1.5
GBR,2015,0.4
GBR,2016,1.0
GBR,2017,2.6
GBR,2018,2.3
GBR,2019,1.7
GBR,2020,1.0
GBR,2021,2.5
GBR,2022,7.9
GBR,2023,6.8
GRC,1980,24.67589
GRC,1981,24.50607
GRC,1982,20.99109
GRC,1983,20.17948
GRC,1984,18.45683
GRC,1985,19.31469
GRC,1986,23.01544
GRC,1987,16.39687
GRC,1988,13.52886
GRC,1989,13.65556
GRC,1990,20.43349
GRC,1991,19.45585
GRC,1992,15.87707
GRC,1993,14.41127
GRC,1994,10.87408
GRC,1995,8.934514
GRC,1996,8.194549
GRC,1997,5.536003
GRC,1998,4.766226
GRC,1999,2.636638
GRC,2000,3.151177
GRC,2001,3.373966
GRC,2002,3.629363
GRC,2003,3.530651
GRC,2004,2.898848
GRC,2005,3.545073
GRC,2006,3.195946
GRC,2007,2.895001
GRC,2008,4.152796
GRC,2009,1.210074
GRC,2010,4.712982
GRC,2011,3.32987
GRC,2012,1.50152
GRC,2013,-0.9212719
GRC,2014,-1.312242
GRC,2015,-1.735902
GRC,2016,-0.8256576
GRC,2017,1.121259
GRC,2018,0.6256205
GRC,2019,0.2529927
GRC,2020,-1.247972
GRC,2021,1.223826
GRC,2022,9.645261
GRC,2023,3.464802
HUN,1980,
HUN,1981,4.66141
HUN,1982,6.835808
HUN,1983,7.279892
HUN,1984,8.467859
HUN,1985,6.94234
HUN,1986,5.291667
HUN,1987,8.674317
HUN,1988,15.72355
HUN,1989,17.14915
HUN,1990,28.36959
HUN,1991,34.81754
HUN,1992,23.65572
HUN,1993,22.46424
HUN,1994,18.86808
HUN,1995,28.30546
HUN,1996,23.46903
HUN,1997,18.30508
HUN,1998,14.15379
HUN,1999,9.997744
HUN,2000,9.803608
HUN,2001,9.116809
HUN,2002,5.265448
HUN,2003,4.661017
HUN,2004,6.744347
HUN,2005,3.561517
HUN,2006,3.930326
HUN,2007,7.958745
HUN,2008,6.042512
HUN,2009,4.211712
HUN,2010,4.855558
HUN,2011,3.929921
HUN,2012,5.652145
HUN,2013,1.7332
HUN,2014,-0.2275663
HUN,2015,-0.06164468
HUN,2016,0.3947693
HUN,2017,2.348243
HUN,2018,2.850248
HUN,2019,3.338586
HUN,2020,3.326744
HUN,2021,5.110965
HUN,2022,14.60814
HUN,2023,17.12497
IRL,1980,18.15446
IRL,1981,20.37351
IRL,1982,17.14711
IRL,1983,10.44763
IRL,1984,8.65111
IRL,1985,5.395495
IRL,1986,3.827038
IRL,1987,3.159406
IRL,1988,2.134571
IRL,1989,4.08905
IRL,1990,3.317329
IRL,1991,3.210815
IRL,1992,3.069996
IRL,1993,1.46942
IRL,1994,2.309198
IRL,1995,2.524866
IRL,1996,1.755748
IRL,1997,1.5418
IRL,1998,2.407681
IRL,1999,1.629886
IRL,2000,5.577633
IRL,2001,4.852803
IRL,2002,4.628205
IRL,2003,3.492219
IRL,2004,2.178546
IRL,2005,2.456547
IRL,2006,3.935761
IRL,2007,4.885746
IRL,2008,4.035688
IRL,2009,-4.447547
IRL,2010,-0.9183887
IRL,2011,2.548978
IRL,2012,1.694741
IRL,2013,0.5150995
IRL,2014,0.19091639999999999
IRL,2015,-0.3309598
IRL,2016,0.02012477
IRL,2017,0.3621731
IRL,2018,0.4711307
IRL,2019,0.937843
IRL,2020,-0.3261836
IRL,2021,2.340341
IRL,2022,7.829457
IRL,2023,6.299425
ISL,1980,58.52843
ISL,1981,51.79325
ISL,1982,50.24323
ISL,1983,83.95004
ISL,1984,30.8524
ISL,1985,31.99462
ISL,1986,22.1284
ISL,1987,18.29777
ISL,1988,25.72551
ISL,1989,20.7582
ISL,1990,15.51072
ISL,1991,6.80878
ISL,1992,3.947712
ISL,1993,4.04285
ISL,1994,1.552657
ISL,1995,1.651232
ISL,1996,2.260421
ISL,1997,1.815431
ISL,1998,1.659237
ISL,1999,3.231831
ISL,2000,5.136475
ISL,2001,6.405086
ISL,2002,5.197023
ISL,2003,2.055662
ISL,2004,3.158195
ISL,2005,3.987048
ISL,2006,6.687074
ISL,2007,5.051564
ISL,2008,12.6944
ISL,2009,12.00312
ISL,2010,5.396732
ISL,2011,4.001026
ISL,2012,5.1859
ISL,2013,3.872275
ISL,2014,2.044619
ISL,2015,1.633058
ISL,2016,1.69693
ISL,2017,1.760413
ISL,2018,2.682915
ISL,2019,3.013977
ISL,2020,2.847919
ISL,2021,4.444243
ISL,2022,8.308754
ISL,2023,8.736306
ITA,1980,21.06417
ITA,1981,17.9693
ITA,1982,16.48041
ITA,1983,14.64659
ITA,1984,10.79449
ITA,1985,9.205993
ITA,1986,5.823544
ITA,1987,4.747284
ITA,1988,5.058249
ITA,1989,6.259837
