iso3,year,ln_population
AUS,1980,16.502813685921694
AUS,1981,16.51843162753205
AUS,1982,16.535769066822827
AUS,1983,16.54945408141061
AUS,1984,16.561459509067802
AUS,1985,16.574780477414052
AUS,1986,16.589245498045326
AUS,1987,16.60445688708864
AUS,1988,16.620818374719406
AUS,1989,16.63774717165834
AUS,1990,16.652547641027308
AUS,1991,16.665293858882983
AUS,1992,16.676489835897687
AUS,1993,16.68538523415327
AUS,1994,16.695016159100053
AUS,1995,16.706153501308563
AUS,1996,16.718292051140782
AUS,1997,16.729112450336746
AUS,1998,16.73907979751476
AUS,1999,16.75001955554418
AUS,2000,16.761464284058956
AUS,2001,16.77430396497169
AUS,2002,16.785679352333634
AUS,2003,16.797181279665555
AUS,2004,16.80787326088613
AUS,2005,16.82004616819137
AUS,2006,16.833540676501258
AUS,2007,16.851790644454184
AUS,2008,16.87182975850661
AUS,2009,16.892438090134338
AUS,2010,16.907995152754747
AUS,2011,16.921890425910927
AUS,2012,16.939348625917663
AUS,2013,16.956560140317556
AUS,2014,16.97147580520884
AUS,2015,16.98586797173483
AUS,2016,17.001487376715872
AUS,2017,17.017955654689374
AUS,2018,17.032915621793506
AUS,2019,17.04769052889935
AUS,2020,17.06002481141249
AUS,2021,17.061433762245418
AUS,2022,17.07432687534397
AUS,2023,17.098671946979124
AUT,1980,15.836983019067363
AUT,1981,15.839533201381052
AUT,1982,15.8402503715614
AUT,1983,15.838634361748861
AUT,1984,15.83857141270794
AUT,1985,15.83904092238703
AUT,1986,15.839676412361722
AUT,1987,15.840309254400806
AUT,1988,15.84172496290399
AUT,1989,15.846230101901295
AUT,1990,15.853850118014455
AUT,1991,15.8638342990459
AUT,1992,15.874839821911182
AUT,1993,15.883086101321133
AUT,1994,15.886934796787918
AUT,1995,15.888465859394945
AUT,1996,15.889816057732432
AUT,1997,15.890949223815662
AUT,1998,15.892046507496673
AUT,1999,15.893992139029322
AUT,2000,15.896396805553787
AUT,2001,15.900224799498618
AUT,2002,15.90514460414117
AUT,2003,15.910015943089439
AUT,2004,15.916220074362782
AUT,2005,15.923032746845779
AUT,2006,15.927980724596765
AUT,2007,15.931222189949619
AUT,2008,15.934352604326234
AUT,2009,15.936972136225297
AUT,2010,15.939376079220304
AUT,2011,15.94274688763862
AUT,2012,15.94730626236181
AUT,2013,15.95320013490874
AUT,2014,15.961015551233999
AUT,2015,15.972225476257695
AUT,2016,15.983039439244974
AUT,2017,15.989985650281024
AUT,2018,15.994856369528714
AUT,2019,15.999303105918763
AUT,2020,16.003454873234418
AUT,2021,16.007811590074983
AUT,2022,16.017374468045748
AUT,2023,16.02726911458544
BEL,1980,16.10391984735594
BEL,1981,16.103893475812537
BEL,1982,16.103621706977695
BEL,1983,16.10354226227079
BEL,1984,16.10352724519292
BEL,1985,16.103825109419358
BEL,1986,16.10418159792719
BEL,1987,16.105034119335315
BEL,1988,16.108213381788904
BEL,1989,16.111845861647605
BEL,1990,16.11482821871074
BEL,1991,16.118544150367423
BEL,1992,16.122601285325985
BEL,1993,16.126507670504253
BEL,1994,16.12958964124112
BEL,1995,16.131684009621324
BEL,1996,16.133637941383707
BEL,1997,16.13605786023354
BEL,1998,16.13819313674025
BEL,1999,16.140485027770545
BEL,2000,16.142910207332758
BEL,2001,16.146349718908994
BEL,2002,16.15083240785721
BEL,2003,16.1550188229379
BEL,2004,16.159346705419193
BEL,2005,16.164847262500082
BEL,2006,16.17144284464989
BEL,2007,16.17878615295755
BEL,2008,16.18668592141235
BEL,2009,16.194731917138547
BEL,2010,16.203868311054865
BEL,2011,16.216878340071904
BEL,2012,16.22307997586528
BEL,2013,16.227793377304945
BEL,2014,16.232232670189696
BEL,2015,16.238027132606476
BEL,2016,16.24309013263099
BEL,2017,16.24694241281471
BEL,2018,16.251494259767462
BEL,2019,16.256898873038445
BEL,2020,16.26120884118944
BEL,2021,16.265324861154763
BEL,2022,16.27340651465478
BEL,2023,16.28190915213646
BGR,1980,15.997230558139451
BGR,1981,16.00056324639134
BGR,1982,16.003521374224302
BGR,1983,16.006016840232558
BGR,1984,16.00835656332986
BGR,1985,16.008341832194834
BGR,1986,16.008076634649573
BGR,1987,16.009547727575974
BGR,1988,16.010671451814215
BGR,1989,15.998971065826714
BGR,1990,15.980933561036034
BGR,1991,15.97102930123504
BGR,1992,15.960290769327436
BGR,1993,15.95231411081227
BGR,1994,15.948918250017421
BGR,1995,15.944464265012698
BGR,1996,15.93930696621633
BGR,1997,15.933218992670952
BGR,1998,15.926545965660289
BGR,1999,15.920939483412495
BGR,2000,15.916000519246161
BGR,2001,15.896094197202334
BGR,2002,15.874387209399332
BGR,2003,15.866466073022977
BGR,2004,15.858918103510241
BGR,2005,15.851388329055306
BGR,2006,15.843793269899995
BGR,2007,15.836440447060081
BGR,2008,15.829421219614622
BGR,2009,15.82297840598915
BGR,2010,15.816395651522791
BGR,2011,15.809983362317642
BGR,2012,15.804191156353998
BGR,2013,15.784021237260607
BGR,2014,15.771876143665825
BGR,2015,15.75916459247748
BGR,2016,15.746182188315798
BGR,2017,15.732943040140535
BGR,2018,15.719228428851277
BGR,2019,15.705111243643566
BGR,2020,15.695081861508275
BGR,2021,15.688435335283392
BGR,2022,15.681928573942514
BGR,2023,15.679062797523901
CAN,1980,17.014822940529285
CAN,1981,17.027156913077338
CAN,1982,17.039053156485096
CAN,1983,17.04893803215657
CAN,1984,17.058378379316984
CAN,1985,17.067516122070884
CAN,1986,17.077456523577194
CAN,1987,17.090638201394643
CAN,1988,17.10360445029424
CAN,1989,17.121546385443438
CAN,1990,17.13662299217192
CAN,1991,17.149050604485087
CAN,1992,17.16088735989898
CAN,1993,17.17187666868777
CAN,1994,17.18282924975838
CAN,1995,17.193176944597063
CAN,1996,17.203630062428246
CAN,1997,17.2135679483429
CAN,1998,17.221867041876138
CAN,1999,17.229995468113298
CAN,2000,17.239308283647823
CAN,2001,17.250170278195487
CAN,2002,17.26101821102844
CAN,2003,17.270010479128427
CAN,2004,17.279332348769906
CAN,2005,17.28880321146661
CAN,2006,17.298938805381106
CAN,2007,17.308645347114272
CAN,2008,17.319484058606214
CAN,2009,17.330931135453866
CAN,2010,17.342044655751035
CAN,2011,17.351798728260746
CAN,2012,17.36263619348411
CAN,2013,17.373170003289644
CAN,2014,17.38318423175861
CAN,2015,17.390787233211
CAN,2016,17.4021026306137
CAN,2017,17.414056988158855
CAN,2018,17.42838924972679
CAN,2019,17.443006375720604
CAN,2020,17.453850065431926
CAN,2021,17.459389089655794
CAN,2022,17.47742813540461
CAN,2023,17.50647493711073
CHE,1980,15.659136090849573
CHE,1981,15.664606739950896
CHE,1982,15.670449656704752
CHE,1983,15.674737535904777
CHE,1984,15.678328652428922
CHE,1985,15.682743079105336
CHE,1986,15.687946995218697
CHE,1987,15.694228152764127
CHE,1988,15.70157758332536
CHE,1989,15.709662943880868
CHE,1990,15.71993167460282
CHE,1991,15.732429934846984
CHE,1992,15.743455145569893
CHE,1993,15.752562301227778
CHE,1994,15.760533885338026
CHE,1995,15.76721630860037
CHE,1996,15.771632672667433
CHE,1997,15.77404158476899
CHE,1998,15.77701294242639
CHE,1999,15.781782141739246
CHE,2000,15.787401687913247
CHE,2001,15.793729400293433
CHE,2002,15.801294091751814
CHE,2003,15.808713287785537
CHE,2004,15.815587547387867
CHE,2005,15.8219935627903
CHE,2006,15.828269147523763
CHE,2007,15.837206057301994
CHE,2008,15.849912238040572
CHE,2009,15.86240708435331
CHE,2010,15.872822664929897
CHE,2011,15.883941454356219
CHE,2012,15.894559647644897
CHE,2013,15.906058445223021
CHE,2014,15.918259484957348
CHE,2015,15.929642856482122
CHE,2016,15.940563168220848
CHE,2017,15.949894727108234
CHE,2018,15.95726106685996
CHE,2019,15.964394203544403
CHE,2020,15.971700965494877
CHE,2021,15.979355975889842
CHE,2022,15.987655247728846
CHE,2023,16.000305090273624
CZE,1980,16.14806145774092
CZE,1981,16.14771183019455
CZE,1982,16.149092835707307
CZE,1983,16.14996789164123
CZE,1984,16.150583460437936
CZE,1985,16.151251664789715
CZE,1986,16.15174578103024
CZE,1987,16.152237913660777
CZE,1988,16.153006706247055
CZE,1989,16.153565878285413
CZE,1990,16.150887570553305
CZE,1991,16.148486922135408
CZE,1992,16.14950933378648
CZE,1993,16.150548804211244
CZE,1994,16.1509100218671
CZE,1995,16.150296881239864
CZE,1996,16.149133068247515
CZE,1997,16.148055440754774
CZE,1998,16.1471079932382
CZE,1999,16.146086233895247
CZE,2000,16.14328209281446
CZE,2001,16.1395248957711
CZE,2002,16.137595879595455
CZE,2003,16.137309673688264
CZE,2004,16.13761402217129
CZE,2005,16.13899728197176
CZE,2006,16.14170523826408
CZE,2007,16.147540660317933
CZE,2008,16.155834786347864
CZE,2009,16.161532080862045
CZE,2010,16.16444569760385
CZE,2011,16.166513174277203
CZE,2012,16.167912430834612
CZE,2013,16.168244130295115
CZE,2014,16.16929690611039
CZE,2015,16.171262793595115
CZE,2016,16.173183277753544
CZE,2017,16.175839704389034
CZE,2018,16.17918397701203
CZE,2019,16.18312186565405
CZE,2020,16.18555409247617
CZE,2021,16.167435378375917
CZE,2022,16.183145104047927
CZE,2023,16.20096899475252
DEU,1980,18.175912249933393
DEU,1981,18.177435334826992
DEU,1982,18.176484200461513
DEU,1983,18.173862674738462
DEU,1984,18.170406010715492
DEU,1985,18.168171111699667
DEU,1986,18.168628792339405
DEU,1987,18.170164968092266
DEU,1988,18.174071757694687
DEU,1989,18.181805127600793
DEU,1990,18.190424822088445
DEU,1991,18.19771087755406
DEU,1992,18.205314347021268
DEU,1993,18.211888259202144
DEU,1994,18.21535682568845
DEU,1995,18.218295870125615
DEU,1996,18.22119061912017
DEU,1997,18.222653751935788
DEU,1998,18.22280518844434
DEU,1999,18.223451534223393
DEU,2000,18.224805850227323
DEU,2001,18.226488103840698
DEU,2002,18.228169387034765
DEU,2003,18.22872302007064
DEU,2004,18.228505922794138
DEU,2005,18.227938140175787
DEU,2006,18.22681016519934
DEU,2007,18.22547297947333
DEU,2008,18.223571551026374
DEU,2009,18.22103771692474
DEU,2010,18.219505732455367
DEU,2011,18.200968586167797
DEU,2012,18.20284586417347
DEU,2013,18.205574866320283
DEU,2014,18.209743639911967
DEU,2015,18.21840066635147
DEU,2016,18.22647285173721
DEU,2017,18.230210097336165
DEU,2018,18.233215364356088
DEU,2019,18.235470563098215
DEU,2020,18.23628749468471
DEU,2021,18.236710765257264
DEU,2022,18.236491199555413
DEU,2023,18.23780631035019
DNK,1980,15.449256033256855
DNK,1981,15.448971981141241
DNK,1982,15.448237171136249
DNK,1983,15.447550509017091
DNK,1984,15.447026741745539
DNK,1985,15.4474320106378
DNK,1986,15.44876928845215
DNK,1987,15.45003593185494
DNK,1988,15.45052186571744
DNK,1989,15.451121742368985
DNK,1990,15.45274630557141
DNK,1991,15.45534148769256
DNK,1992,15.458648201709696
DNK,1993,15.461979865666315
DNK,1994,15.465356939428748
DNK,1995,15.470566561239536
DNK,1996,15.476225824658881
DNK,1997,15.480381474352196
DNK,1998,15.484013099588203
DNK,1999,15.48732196205007
DNK,2000,15.490664298238363
DNK,2001,15.494247455027917
DNK,2002,15.497442326281327
DNK,2003,15.500162430721643
DNK,2004,15.502746753542171
DNK,2005,15.505501570876264
DNK,2006,15.508788022465463
DNK,2007,15.513222683008678
DNK,2008,15.519098158911268
DNK,2009,15.524448949532061
DNK,2010,15.528890921077156
DNK,2011,15.533008299629106
DNK,2012,15.536771022055307
DNK,2013,15.540940035662826
DNK,2014,15.546010568492928
DNK,2015,15.553074806989798
DNK,2016,15.560878733431151
DNK,2017,15.567312242468525
DNK,2018,15.572270631727315
DNK,2019,15.575851940886242
DNK,2020,15.578768352661008
DNK,2021,15.583102497555105
DNK,2022,15.590977522202506
DNK,2023,15.598389377359705
ESP,1980,17.4396158631826
ESP,1981,17.446724643287723
ESP,1982,17.45272854466013
ESP,1983,17.457600376765864
ESP,1984,17.4617529337896
ESP,1985,17.465376589438765
ESP,1986,17.46836441310691
ESP,1987,17.47095770373893
ESP,1988,17.47307835373162
ESP,1989,17.474646115707806
ESP,1990,17.475664404133877
ESP,1991,17.478209678379386
ESP,1992,17.483107257433787
ESP,1993,17.48829269264245
ESP,1994,17.493053698194142
ESP,1995,17.49746735568952
ESP,1996,17.501632513671648
ESP,1997,17.505823708843668
ESP,1998,17.50996218365481
ESP,1999,17.514015413910037
ESP,2000,17.518486784055394
ESP,2001,17.52542746489874
ESP,2002,17.53955341894632
ESP,2003,17.557637963628153
ESP,2004,17.574892626662635
