iso3,country,year,population,ln_population
AUS,Australia,1980,14692000.0,16.502813685921694
AUS,Australia,1981,14923260.0,16.51843162753205
AUS,Australia,1982,15184247.0,16.535769066822827
AUS,Australia,1983,15393472.0,16.54945408141061
AUS,Australia,1984,15579391.0,16.561459509067802
AUS,Australia,1985,15788312.0,16.574780477414052
AUS,Australia,1986,16018350.0,16.589245498045326
AUS,Australia,1987,16263874.0,16.60445688708864
AUS,Australia,1988,16532164.0,16.620818374719406
AUS,Australia,1989,16814416.0,16.63774717165834
AUS,Australia,1990,17065128.0,16.652547641027308
AUS,Australia,1991,17284036.0,16.665293858882983
AUS,Australia,1992,17478635.0,16.676489835897687
AUS,Australia,1993,17634808.0,16.68538523415327
AUS,Australia,1994,17805468.0,16.695016159100053
AUS,Australia,1995,18004882.0,16.706153501308563
AUS,Australia,1996,18224767.0,16.718292051140782
AUS,Australia,1997,18423037.0,16.729112450336746
AUS,Australia,1998,18607584.0,16.73907979751476
AUS,Australia,1999,18812264.0,16.75001955554418
AUS,Australia,2000,19028802.0,16.761464284058956
AUS,Australia,2001,19274701.0,16.77430396497169
AUS,Australia,2002,19495210.0,16.785679352333634
AUS,Australia,2003,19720737.0,16.797181279665555
AUS,Australia,2004,19932722.0,16.80787326088613
AUS,Australia,2005,20176844.0,16.82004616819137
AUS,Australia,2006,20450966.0,16.833540676501258
AUS,Australia,2007,20827622.0,16.851790644454184
AUS,Australia,2008,21249199.0,16.87182975850661
AUS,Australia,2009,21691653.0,16.892438090134338
AUS,Australia,2010,22031750.0,16.907995152754747
AUS,Australia,2011,22340024.0,16.921890425910927
AUS,Australia,2012,22733465.0,16.939348625917663
AUS,Australia,2013,23128129.0,16.956560140317556
AUS,Australia,2014,23475686.0,16.97147580520884
AUS,Australia,2015,23815995.0,16.98586797173483
AUS,Australia,2016,24190907.0,17.001487376715872
AUS,Australia,2017,24592588.0,17.017955654689374
AUS,Australia,2018,24963258.0,17.032915621793506
AUS,Australia,2019,25334826.0,17.04769052889935
AUS,Australia,2020,25649248.0,17.06002481141249
AUS,Australia,2021,25685412.0,17.061433762245418
AUS,Australia,2022,26018721.0,17.07432687534397
AUS,Australia,2023,26659922.0,17.098671946979124
AUT,Austria,1980,7549433.0,15.836983019067363
AUT,Austria,1981,7568710.0,15.839533201381052
AUT,Austria,1982,7574140.0,15.8402503715614
AUT,Austria,1983,7561910.0,15.838634361748861
AUT,Austria,1984,7561434.0,15.83857141270794
AUT,Austria,1985,7564985.0,15.83904092238703
AUT,Austria,1986,7569794.0,15.839676412361722
AUT,Austria,1987,7574586.0,15.840309254400806
AUT,Austria,1988,7585317.0,15.84172496290399
AUT,Austria,1989,7619567.0,15.846230101901295
AUT,Austria,1990,7677850.0,15.853850118014455
